KwaMandlenkosi Clinic,"Beaufort West, Central Karoo"
Kwanokathula Clinic,"Bitou, Eden"
Kylemore Clinic,"Kylemore, Stellenbosch"
Ladismith (Nissenville) Clinic,"Ladismith, Kannaland"
Lady Michaelis (Wynberg Mews) Community Health Clinic,"Plumstead, Cape Town"
Laingsburg Clinic,"Laingsburg, Central Karoo"
Laingville Clinic,"St.Helena Bay, Saldanha Bay"
Lamberts Bay Community Health Clinic,"Lamberts Bay, Cederberg"
Langa Clinic,"Langa, Cape Town"
Langebaan Clinic,"Langebaan, Saldanha Bay"
Lansdowne Clinic,"Lansdowne, Cape Town"
Lavender Hill Clinic,"Lavender Hill, Cape Town"
Lawaaikamp Clinic,"George, Eden"
Lentegeur Clinic,"Mitchells Plain, Cape Town"
Lotus River Clinic,"Lotus River, Cape Town"
Lotus River Community Health Clinic,"Lotus River, Cape Town"
Louwville Clinic,"Vredenburg, Saldanha Bay"
Lutzville Municipality Satellite Clinic,"Lutzville, Matzikama"
Luvuyo Clinic,"Makaza, Cape Town"
Macassar Clinic,"Macassar, Cape Town"
Macassar Community Health Clinic,"Macassar, Cape Town"
Maitland Clinic,"Maitland, Cape Town"
Maitland Community Health Clinic,"Maitland, Cape Town"
Malibu Clinic,"Malibu Village, Cape Town"
Malmesbury Satellite Clinic,"Malmesbury, Swartland"
Mamre Community Health Clinic,"Mamre, Cape Town"
Mandalay Satellite Clinic,"Mandalay, Cape Town"
Manenberg Clinic,"Manenberg, Cape Town"
Maria Pieterse Clinic,"Worcester, Breede Valley"
Masincedane Clinic,"Nyanga, Cape Town"
Matjiesfontein Clinic,"Laingsburg, Central Karoo"
Matroosfontein Clinic,"Matroosfontein, Cape Town"
Matthew Goniwe Clinic,"Makaza, Cape Town"
Mayenzeke Clinic,"Makaza, Cape Town"
Mbekweni Clinic,"Paarl, Drakenstein"
McGregor Clinic,"Mcgregor, Breede River Winelands"
Melkbosstrand Satellite Clinic,"Melkbosstrand, Cape Town"
Melkhoutfontein Clinic,"Stilbaai, Langeberg"
Merweville Clinic,"Merweville, Beaufort West"
Mfuleni Community Health Clinic/Clinic,"Mfuleni, Cape Town"
Michael Mapongwana Community Health Clinic,"Khayelitsha, Cape Town"
Mitchells Plain Community Health Clinic,"Mitchells Plain, Cape Town"
Montagu Town Clinic,"Montagu, Breede River Winelands"
Moorreesburg Community Health Clinic,"Moorreesburg, Swartland"
Mossel Bay Hospital Primary Health Care Clinic,"Mossel Bay , Eden"
Mount Pleasant Clinic,"Hermanus, Overstrand"
Muizenberg Clinic,"Muizenberg, Cape Town"
Munnik Street Clinic,"Ceres, Witzenberg"
Murraysburg Clinic,"Murraysburg, WCDMA05"
Mzamomhle Clinic,"Phillipi, Cape Town"
N Paarl/Nieuwedrift Clinic and Mobile Clinic,"Paarl, Drakenstein"
Napier Clinic,"Napier, Cape Agulhas"
Nduli Clinic,"Ceres, Witzenberg"
Netreg Clinic,"Netreg, Cape Town"
New Horizon Clinic,"New Horizons, Bitou"
Newfields Estate Clinic,"Newfields, Cape Town"
Newton Clinic (Wellington),"Wellington, Drakenstein"
Newtown Clinic,"Beaufort West, Central Karoo"
Nieuveldpark Clinic,"Nieuveldpark, Beaufort West"
Nkqubela Clinic,"Robertson, Breede River Winelands"
Nolungile Clinic,"Khayelitsha, Cape Town"
Nolungile Community Health Clinic,"Khayelitsha, Cape Town"
